,City,Latitude,Longitude,Current Temp (F),Humidity,Clouds,Wind
0,Bluff,-23.58,149.07,71.35,79,0,6.98
1,Tongren,27.72,109.18,32.65,95,92,8.77
2,Bereda,43.27,-7.54,48.2,87,20,2.24
3,Barrow,-38.31,-60.23,87.19,41,44,4.74
4,Avarua,-21.21,-159.78,78.8,83,40,6.93
5,Provideniya,64.42,-173.23,32.65,89,92,19.84
6,Mataura,-46.19,168.86,41.43,84,12,3.85
7,Nouadhibou,20.93,-17.03,66.2,82,0,13.87
8,Puerto Ayora,-0.74,-90.35,84.2,66,20,17.22
9,Punta Arenas,-53.16,-70.91,57.33,58,75,21.92
10,Rikitea,-23.12,-134.97,79.27,99,36,11.79
11,Hithadhoo,-0.6,73.08,79.32,100,24,6.2
12,Chalmette,29.94,-89.96,45.52,65,90,5.82
13,Kruisfontein,-34.0,24.73,68.56,86,68,4.63
14,Lorengau,-2.02,147.27,81.7,100,44,7.76
15,Chuy,-33.69,-53.46,71.08,100,92,11.01
16,Chokurdakh,70.62,147.9,-39.04,0,20,8.43
17,Castro,-42.48,-73.76,55.4,100,90,14.99
18,Hilo,19.71,-155.08,69.98,59,90,6.93
19,Moshi,-3.36,37.34,78.8,61,40,3.62
20,Pisco,-13.71,-76.2,71.6,30,0,18.34
21,Esperance,10.24,-61.45,87.8,55,20,11.41
22,San Patricio,-26.98,-56.83,87.73,75,36,8.43
23,Lebu,8.96,38.73,53.4,31,0,5.3
24,Georgetown,6.8,-58.16,80.71,84,76,6.98
25,Thoen,17.61,99.22,64.87,97,44,1.95
26,Mogok,22.92,96.51,46.69,91,0,1.95
27,Poum,41.28,20.71,17.98,68,0,4.18
28,La Tuque,47.44,-72.79,16.27,75,48,1.61
29,Busselton,-33.64,115.35,61.54,100,0,18.28
30,Kalmunai,7.42,81.82,72.75,100,92,5.08
31,Derzhavinsk,51.1,66.31,16.18,81,68,4.63
32,Ribeira Grande,38.52,-28.7,62.6,88,40,12.75
33,Cockburn Town,21.46,-71.14,78.19,100,8,3.62
34,Greenwood,32.03,-101.9,46.96,79,90,8.05
35,Souillac,45.6,-0.6,43.57,65,0,3.36
36,Cabo San Lucas,22.89,-109.91,73.4,64,75,3.36
37,Kutum,14.2,24.66,63.88,58,8,4.18
38,Los Llanos de Aridane,28.66,-17.92,66.2,63,20,9.17
39,Hovd,63.83,10.7,17.65,92,0,6.93
40,Mar del Plata,-46.43,-67.52,76.39,33,32,24.43
41,Dikson,73.51,80.55,7.77,97,68,11.23
42,Yellowknife,62.45,-114.38,-16.61,68,90,8.05
43,Norman Wells,65.28,-126.83,-9.41,69,75,4.7
44,Jamestown,-33.21,138.6,77.56,42,56,8.1
45,Ushuaia,-54.81,-68.31,48.2,87,75,29.97
46,Okha,53.59,142.95,10.69,85,92,16.6
47,Port Augusta,-32.49,137.76,73.4,60,88,9.17
48,Talnakh,69.49,88.39,7.23,75,68,16.04
49,Cape Town,-33.93,18.42,69.8,73,0,18.34
50,Port Alfred,-33.59,26.89,72.34,87,44,5.64
51,Diffa,13.32,12.61,68.74,28,0,6.76
52,Mount Gambier,-37.83,140.78,60.8,93,40,5.82
53,Lompoc,34.64,-120.46,54.41,93,90,29.97
54,Evensk,61.92,159.24,-15.64,100,0,6.64
55,Ahipara,-35.17,173.16,64.87,92,56,13.47
56,Agadez,16.97,7.99,69.8,10,0,13.87
57,Bathsheba,13.22,-59.52,82.4,65,40,14.99
58,Chumikan,54.72,135.31,-11.09,73,36,6.08
59,Salalah,17.01,54.1,75.2,73,0,2.24
60,Airai,-8.93,125.41,68.43,92,32,1.39
61,Christchurch,-43.53,172.64,53.6,87,0,2.24
62,Boyolangu,-8.09,111.9,70.0,92,48,2.62
63,Buala,-8.15,159.59,75.4,100,92,2.06
64,Tasiilaq,65.61,-37.64,6.8,42,20,4.7
65,Atuona,-9.8,-139.03,80.17,100,80,19.51
66,Mana,43.52,20.24,26.44,74,75,3.36
67,Arraial do Cabo,-22.97,-42.02,89.96,62,0,19.46
68,New Norfolk,-42.78,147.06,62.6,77,75,10.29
69,Zhigansk,66.77,123.37,-42.46,0,8,2.06
70,Bethel,60.79,-161.76,35.76,78,90,10.29
71,Kapaa,22.08,-159.32,72.75,67,75,8.05
72,Oranjemund,-28.55,16.43,64.6,93,0,26.33
73,Kahului,20.89,-156.47,72.07,62,40,3.36
74,Karratha,-20.74,116.85,80.53,75,56,4.18
75,Coquimbo,-29.95,-71.34,69.8,60,0,13.87
76,Yerbogachen,61.28,108.01,-10.55,70,88,5.53
77,East London,-33.02,27.91,71.6,88,20,4.7
78,Saint George,39.45,22.34,36.28,34,20,8.05
79,Saskylakh,71.97,114.09,-40.34,0,0,13.69
80,Bira,49.0,132.47,-16.31,67,32,2.39
81,Vaini,15.34,74.49,67.3,54,0,5.08
82,Mbaiki,3.87,17.99,77.7,68,8,2.73
83,Vostok,46.45,135.83,-9.16,63,0,4.97
84,Biak,-0.91,122.88,78.37,96,88,4.41
85,Byron Bay,-28.65,153.62,66.56,94,0,5.82
86,Tromso,69.65,18.96,16.16,86,75,4.7
87,Qaanaaq,77.48,-69.36,-32.42,100,0,9.22
88,Port Elizabeth,39.31,-74.98,36.66,43,1,8.05
89,Hohhot,40.81,111.65,-5.81,53,0,4.47
90,Horn Lake,34.96,-90.03,42.04,67,90,8.05
91,Vila Velha,-3.71,-38.6,82.4,78,40,5.82
92,Albany,42.65,-73.75,27.99,58,90,6.93
93,Ennepetal,51.3,7.37,44.17,87,90,16.11
94,Kaitangata,-46.28,169.85,43.81,76,8,3.85
95,Mayskiy,43.63,44.06,25.86,100,90,2.24
